id,college_id,department_id,semester,name,credits,type,subject_code,regulation_year,hours_per_week,course_category,lecture_hrs,tutorial_hrs,practical_hrs,is_mooc,mooc_platform,mooc_credit_equiv
subj-0071,college-aits-001,dept-it,3,Computer Organization,3,Theory,22IT3104,R22,3,core,3,0,0,False,,
subj-0072,college-aits-001,dept-it,3,OOP Lab,2,Lab,22IT3105,R22,3,core,0,0,3,False,,
subj-0073,college-aits-001,dept-it,3,Digital Logic Lab,1,Lab,22IT3106,R22,2,core,0,0,2,False,,
subj-0074,college-aits-001,dept-it,3,Managerial Economics & Financial Analysis,3,Theory,22HS3101,R22,3,sec,3,0,0,False,,
subj-0075,college-aits-001,dept-it,4,Operating Systems,3,Theory,22IT4101,R22,3,core,3,0,0,False,,
subj-0076,college-aits-001,dept-it,4,Database Management Systems,3,Theory,22IT4102,R22,3,core,3,0,0,False,,
subj-0077,college-aits-001,dept-it,4,Design & Analysis of Algorithms,3,Theory,22IT4103,R22,4,core,3,1,0,False,,
subj-0078,college-aits-001,dept-it,4,Software Engineering,3,Theory,22IT4104,R22,3,core,3,0,0,False,,
subj-0079,college-aits-001,dept-it,4,OS & DBMS Lab,2,Lab,22IT4105,R22,3,core,0,0,3,False,,
subj-0080,college-aits-001,dept-it,4,Python Programming Lab,1,Lab,22IT4106,R22,2,core,0,0,2,False,,
subj-0081,college-aits-001,dept-it,4,Environmental Science,2,Theory,22HS4101,R22,2,mdc,2,0,0,False,,
subj-0082,college-aits-001,dept-it,5,Computer Networks,3,Theory,22IT5101,R22,3,core,3,0,0,False,,
subj-0083,college-aits-001,dept-it,5,Web Technologies,3,Theory,22IT5102,R22,4,core,2,0,2,False,,
subj-0084,college-aits-001,dept-it,5,Information Security,3,Theory,22IT5103,R22,3,core,3,0,0,False,,
subj-0085,college-aits-001,dept-it,5,Data Warehousing & Mining,3,Theory,22IT5104,R22,3,core,3,0,0,False,,
subj-0086,college-aits-001,dept-it,5,CN & Web Lab,2,Lab,22IT5105,R22,3,core,0,0,3,False,,
subj-0087,college-aits-001,dept-it,5,Professional Elective - I,3,Theory,22IT5106,R22,3,elective,3,0,0,False,,
subj-0088,college-aits-001,dept-it,5,Constitution of India,0,Theory,22MC5101,R22,2,mdc,2,0,0,False,,
subj-0089,college-aits-001,dept-it,6,Artificial Intelligence,3,Theory,22IT6101,R22,3,core,3,0,0,False,,
subj-0090,college-aits-001,dept-it,6,Cloud Computing,3,Theory,22IT6102,R22,3,core,3,0,0,False,,
subj-0091,college-aits-001,dept-it,6,Software Testing,3,Theory,22IT6103,R22,3,core,3,0,0,False,,
subj-0092,college-aits-001,dept-it,6,Mobile Application Development,3,Theory,22IT6104,R22,3,core,3,0,0,False,,
subj-0093,college-aits-001,dept-it,6,AI & Cloud Lab,2,Lab,22IT6105,R22,3,core,0,0,3,False,,
subj-0094,college-aits-001,dept-it,6,Professional Elective - II,3,Theory,22IT6106,R22,3,elective,3,0,0,False,,
subj-0095,college-aits-001,dept-it,6,Open Elective - I,3,Theory,22IT6107,R22,3,open_elective,3,0,0,False,,
subj-0096,college-aits-001,dept-it,7,DevOps & Automation,3,Theory,22IT7101,R22,3,core,3,0,0,False,,
subj-0097,college-aits-001,dept-it,7,Blockchain Technology,3,Theory,22IT7102,R22,3,core,3,0,0,False,,
subj-0098,college-aits-001,dept-it,7,Professional Elective - III,3,Theory,22IT7103,R22,3,elective,3,0,0,False,,
subj-0099,college-aits-001,dept-it,7,Open Elective - II,3,Theory,22IT7104,R22,3,open_elective,3,0,0,False,,
subj-0100,college-aits-001,dept-it,7,Project - I,2,Lab,22IT7105,R22,4,core,0,0,4,False,,
subj-0101,college-aits-001,dept-it,7,Seminar,2,Lab,22IT7106,R22,2,core,0,0,2,False,,
subj-0102,college-aits-001,dept-it,8,Professional Elective - IV,3,Theory,22IT8101,R22,3,elective,3,0,0,False,,
subj-0103,college-aits-001,dept-it,8,Project - II,8,Lab,22IT8102,R22,16,core,0,0,16,False,,
subj-0104,college-aits-001,dept-it,8,Comprehensive Viva,2,Lab,22IT8103,R22,0,core,0,0,0,False,,
subj-0105,college-aits-001,dept-ece,1,Linear Algebra & Calculus,4,Theory,22MA1101,R22,4,core,3,1,0,False,,
subj-0106,college-aits-001,dept-ece,1,Applied Physics,4,Theory,22PH1101,R22,3,core,3,0,0,False,,
subj-0107,college-aits-001,dept-ece,1,Programming for Problem Solving (C),3,Theory,22CS1101,R22,3,core,3,0,0,False,,
subj-0108,college-aits-001,dept-ece,1,Programming for Problem Solving Lab,1,Lab,22CS1102,R22,3,core,0,0,3,False,,
subj-0109,college-aits-001,dept-ece,1,English - I,2,Theory,22EN1101,R22,2,aec,2,0,0,False,,
subj-0110,college-aits-001,dept-ece,1,Engineering Drawing,2,Lab,22ME1101,R22,3,core,1,0,2,False,,
subj-0111,college-aits-001,dept-ece,1,Applied Physics Lab,1,Lab,22PH1102,R22,2,core,0,0,2,False,,
subj-0112,college-aits-001,dept-ece,2,"Probability, Statistics & Numerical Methods",4,Theory,22MA1201,R22,4,core,3,1,0,False,,
subj-0113,college-aits-001,dept-ece,2,Engineering Chemistry,4,Theory,22CH1201,R22,3,core,3,0,0,False,,
subj-0114,college-aits-001,dept-ece,2,Basic Electrical Engineering,3,Theory,22EE1201,R22,3,core,3,0,0,False,,
subj-0115,college-aits-001,dept-ece,2,Basic Electrical Engineering Lab,1,Lab,22EE1202,R22,2,core,0,0,2,False,,
subj-0116,college-aits-001,dept-ece,2,English - II,2,Theory,22EN1201,R22,2,aec,2,0,0,False,,
subj-0117,college-aits-001,dept-ece,2,Data Structures,3,Theory,22CS1201,R22,3,core,3,0,0,False,,
subj-0118,college-aits-001,dept-ece,2,Data Structures Lab,1,Lab,22CS1202,R22,3,core,0,0,3,False,,
subj-0119,college-aits-001,dept-ece,2,Engineering Chemistry Lab,1,Lab,22CH1202,R22,2,core,0,0,2,False,,
subj-0120,college-aits-001,dept-ece,3,Signals & Systems,3,Theory,22EC3101,R22,4,core,3,1,0,False,,
subj-0121,college-aits-001,dept-ece,3,Analog Electronics,3,Theory,22EC3102,R22,3,core,3,0,0,False,,
subj-0122,college-aits-001,dept-ece,3,Network Theory,3,Theory,22EC3103,R22,4,core,3,1,0,False,,
subj-0123,college-aits-001,dept-ece,3,Electromagnetic Theory,3,Theory,22EC3104,R22,3,core,3,0,0,False,,
subj-0124,college-aits-001,dept-ece,3,Analog Electronics Lab,2,Lab,22EC3105,R22,3,core,0,0,3,False,,
subj-0125,college-aits-001,dept-ece,3,Network Theory Lab,1,Lab,22EC3106,R22,2,core,0,0,2,False,,
subj-0126,college-aits-001,dept-ece,3,Managerial Economics & Financial Analysis,3,Theory,22HS3101,R22,3,sec,3,0,0,False,,
subj-0127,college-aits-001,dept-ece,4,Analog Communication,3,Theory,22EC4101,R22,3,core,3,0,0,False,,
subj-0128,college-aits-001,dept-ece,4,Digital Signal Processing,3,Theory,22EC4102,R22,4,core,3,1,0,False,,
subj-0129,college-aits-001,dept-ece,4,Linear IC Applications,3,Theory,22EC4103,R22,3,core,3,0,0,False,,
subj-0130,college-aits-001,dept-ece,4,Control Systems,3,Theory,22EC4104,R22,4,core,3,1,0,False,,
subj-0131,college-aits-001,dept-ece,4,Communication & DSP Lab,2,Lab,22EC4105,R22,3,core,0,0,3,False,,
subj-0132,college-aits-001,dept-ece,4,IC Applications Lab,1,Lab,22EC4106,R22,2,core,0,0,2,False,,
subj-0133,college-aits-001,dept-ece,4,Environmental Science,2,Theory,22HS4101,R22,2,mdc,2,0,0,False,,
subj-0134,college-aits-001,dept-ece,5,Digital Communication,3,Theory,22EC5101,R22,3,core,3,0,0,False,,
subj-0135,college-aits-001,dept-ece,5,VLSI Design,3,Theory,22EC5102,R22,3,core,3,0,0,False,,
subj-0136,college-aits-001,dept-ece,5,Microprocessors & Microcontrollers,3,Theory,22EC5103,R22,3,core,3,0,0,False,,
subj-0137,college-aits-001,dept-ece,5,Antenna & Wave Propagation,3,Theory,22EC5104,R22,3,core,3,0,0,False,,
subj-0138,college-aits-001,dept-ece,5,VLSI & Microprocessor Lab,2,Lab,22EC5105,R22,3,core,0,0,3,False,,
subj-0139,college-aits-001,dept-ece,5,Professional Elective - I,3,Theory,22EC5106,R22,3,elective,3,0,0,False,,
subj-0140,college-aits-001,dept-ece,5,Constitution of India,0,Theory,22MC5101,R22,2,mdc,2,0,0,False,,
subj-0141,college-aits-001,dept-ece,6,Wireless Communication,3,Theory,22EC6101,R22,3,core,3,0,0,False,,
subj-0142,college-aits-001,dept-ece,6,Embedded Systems,3,Theory,22EC6102,R22,3,core,3,0,0,False,,
subj-0143,college-aits-001,dept-ece,6,Radar & Satellite Communication,3,Theory,22EC6103,R22,3,core,3,0,0,False,,
subj-0144,college-aits-001,dept-ece,6,Digital Image Processing,3,Theory,22EC6104,R22,3,core,3,0,0,False,,
subj-0145,college-aits-001,dept-ece,6,Embedded Systems Lab,2,Lab,22EC6105,R22,3,core,0,0,3,False,,
subj-0146,college-aits-001,dept-ece,6,Professional Elective - II,3,Theory,22EC6106,R22,3,elective,3,0,0,False,,
subj-0147,college-aits-001,dept-ece,6,Open Elective - I,3,Theory,22EC6107,R22,3,open_elective,3,0,0,False,,
subj-0148,college-aits-001,dept-ece,7,Optical Communication,3,Theory,22EC7101,R22,3,core,3,0,0,False,,
subj-0149,college-aits-001,dept-ece,7,Robotics,3,Theory,22EC7102,R22,3,core,3,0,0,False,,
subj-0150,college-aits-001,dept-ece,7,Professional Elective - III,3,Theory,22EC7103,R22,3,elective,3,0,0,False,,
subj-0151,college-aits-001,dept-ece,7,Open Elective - II,3,Theory,22EC7104,R22,3,open_elective,3,0,0,False,,
subj-0152,college-aits-001,dept-ece,7,Project - I,2,Lab,22EC7105,R22,4,core,0,0,4,False,,
subj-0153,college-aits-001,dept-ece,7,Seminar,2,Lab,22EC7106,R22,2,core,0,0,2,False,,
subj-0154,college-aits-001,dept-ece,8,Professional Elective - IV,3,Theory,22EC8101,R22,3,elective,3,0,0,False,,
subj-0155,college-aits-001,dept-ece,8,Project - II,8,Lab,22EC8102,R22,16,core,0,0,16,False,,
subj-0156,college-aits-001,dept-ece,8,Comprehensive Viva,2,Lab,22EC8103,R22,0,core,0,0,0,False,,
subj-0157,college-aits-001,dept-eee,1,Linear Algebra & Calculus,4,Theory,22MA1101,R22,4,core,3,1,0,False,,
subj-0158,college-aits-001,dept-eee,1,Applied Physics,4,Theory,22PH1101,R22,3,core,3,0,0,False,,
subj-0159,college-aits-001,dept-eee,1,Programming for Problem Solving (C),3,Theory,22CS1101,R22,3,core,3,0,0,False,,
subj-0160,college-aits-001,dept-eee,1,Programming for Problem Solving Lab,1,Lab,22CS1102,R22,3,core,0,0,3,False,,
subj-0161,college-aits-001,dept-eee,1,English - I,2,Theory,22EN1101,R22,2,aec,2,0,0,False,,
subj-0162,college-aits-001,dept-eee,1,Engineering Drawing,2,Lab,22ME1101,R22,3,core,1,0,2,False,,
subj-0163,college-aits-001,dept-eee,1,Applied Physics Lab,1,Lab,22PH1102,R22,2,core,0,0,2,False,,
subj-0164,college-aits-001,dept-eee,2,"Probability, Statistics & Numerical Methods",4,Theory,22MA1201,R22,4,core,3,1,0,False,,
subj-0165,college-aits-001,dept-eee,2,Engineering Chemistry,4,Theory,22CH1201,R22,3,core,3,0,0,False,,
subj-0166,college-aits-001,dept-eee,2,Basic Electrical Engineering,3,Theory,22EE1201,R22,3,core,3,0,0,False,,
subj-0167,college-aits-001,dept-eee,2,Basic Electrical Engineering Lab,1,Lab,22EE1202,R22,2,core,0,0,2,False,,
subj-0168,college-aits-001,dept-eee,2,English - II,2,Theory,22EN1201,R22,2,aec,2,0,0,False,,
subj-0169,college-aits-001,dept-eee,2,Data Structures,3,Theory,22CS1201,R22,3,core,3,0,0,False,,
subj-0170,college-aits-001,dept-eee,2,Data Structures Lab,1,Lab,22CS1202,R22,3,core,0,0,3,False,,
subj-0171,college-aits-001,dept-eee,2,Engineering Chemistry Lab,1,Lab,22CH1202,R22,2,core,0,0,2,False,,
subj-0172,college-aits-001,dept-eee,3,Electrical Machines - I,3,Theory,22EE3101,R22,3,core,3,0,0,False,,
subj-0173,college-aits-001,dept-eee,3,Network Theory,3,Theory,22EE3102,R22,4,core,3,1,0,False,,
subj-0174,college-aits-001,dept-eee,3,Electromagnetic Fields,3,Theory,22EE3103,R22,3,core,3,0,0,False,,
subj-0175,college-aits-001,dept-eee,3,Electronic Devices & Circuits,3,Theory,22EE3104,R22,3,core,3,0,0,False,,
subj-0176,college-aits-001,dept-eee,3,Electrical Machines Lab,2,Lab,22EE3105,R22,3,core,0,0,3,False,,
subj-0177,college-aits-001,dept-eee,3,Electronics Lab,1,Lab,22EE3106,R22,2,core,0,0,2,False,,
subj-0178,college-aits-001,dept-eee,3,Managerial Economics & Financial Analysis,3,Theory,22HS3101,R22,3,sec,3,0,0,False,,
subj-0179,college-aits-001,dept-eee,4,Electrical Machines - II,3,Theory,22EE4101,R22,3,core,3,0,0,False,,
subj-0180,college-aits-001,dept-eee,4,Power Systems - I,3,Theory,22EE4102,R22,3,core,3,0,0,False,,
subj-0181,college-aits-001,dept-eee,4,Control Systems,3,Theory,22EE4103,R22,4,core,3,1,0,False,,
subj-0182,college-aits-001,dept-eee,4,Signals & Systems,3,Theory,22EE4104,R22,4,core,3,1,0,False,,
subj-0183,college-aits-001,dept-eee,4,Machines & Control Lab,2,Lab,22EE4105,R22,3,core,0,0,3,False,,
subj-0184,college-aits-001,dept-eee,4,Simulation Lab,1,Lab,22EE4106,R22,2,core,0,0,2,False,,
subj-0185,college-aits-001,dept-eee,4,Environmental Science,2,Theory,22HS4101,R22,2,mdc,2,0,0,False,,
subj-0186,college-aits-001,dept-eee,5,Power Systems - II,3,Theory,22EE5101,R22,3,core,3,0,0,False,,
subj-0187,college-aits-001,dept-eee,5,Power Electronics,3,Theory,22EE5102,R22,3,core,3,0,0,False,,
subj-0188,college-aits-001,dept-eee,5,Microprocessors & Microcontrollers,3,Theory,22EE5103,R22,3,core,3,0,0,False,,
subj-0189,college-aits-001,dept-eee,5,Electrical Measurements,3,Theory,22EE5104,R22,3,core,3,0,0,False,,
subj-0190,college-aits-001,dept-eee,5,Power Electronics Lab,2,Lab,22EE5105,R22,3,core,0,0,3,False,,
subj-0191,college-aits-001,dept-eee,5,Professional Elective - I,3,Theory,22EE5106,R22,3,elective,3,0,0,False,,
subj-0192,college-aits-001,dept-eee,5,Constitution of India,0,Theory,22MC5101,R22,2,mdc,2,0,0,False,,
subj-0193,college-aits-001,dept-eee,6,Power System Protection,3,Theory,22EE6101,R22,3,core,3,0,0,False,,
subj-0194,college-aits-001,dept-eee,6,Renewable Energy Systems,3,Theory,22EE6102,R22,3,core,3,0,0,False,,
subj-0195,college-aits-001,dept-eee,6,Electric Drives,3,Theory,22EE6103,R22,3,core,3,0,0,False,,
subj-0196,college-aits-001,dept-eee,6,Digital Signal Processing,3,Theory,22EE6104,R22,3,core,3,0,0,False,,
subj-0197,college-aits-001,dept-eee,6,Drives & Renewable Lab,2,Lab,22EE6105,R22,3,core,0,0,3,False,,
subj-0198,college-aits-001,dept-eee,6,Professional Elective - II,3,Theory,22EE6106,R22,3,elective,3,0,0,False,,
subj-0199,college-aits-001,dept-eee,6,Open Elective - I,3,Theory,22EE6107,R22,3,open_elective,3,0,0,False,,
subj-0200,college-aits-001,dept-eee,7,Smart Grid Technology,3,Theory,22EE7101,R22,3,core,3,0,0,False,,
subj-0201,college-aits-001,dept-eee,7,High Voltage Engineering,3,Theory,22EE7102,R22,3,core,3,0,0,False,,
subj-0202,college-aits-001,dept-eee,7,Professional Elective - III,3,Theory,22EE7103,R22,3,elective,3,0,0,False,,
subj-0203,college-aits-001,dept-eee,7,Open Elective - II,3,Theory,22EE7104,R22,3,open_elective,3,0,0,False,,
subj-0204,college-aits-001,dept-eee,7,Project - I,2,Lab,22EE7105,R22,4,core,0,0,4,False,,
subj-0205,college-aits-001,dept-eee,7,Seminar,2,Lab,22EE7106,R22,2,core,0,0,2,False,,
subj-0206,college-aits-001,dept-eee,8,Professional Elective - IV,3,Theory,22EE8101,R22,3,elective,3,0,0,False,,
subj-0207,college-aits-001,dept-eee,8,Project - II,8,Lab,22EE8102,R22,16,core,0,0,16,False,,
subj-0208,college-aits-001,dept-eee,8,Comprehensive Viva,2,Lab,22EE8103,R22,0,core,0,0,0,False,,
subj-0209,college-aits-001,dept-mech,1,Linear Algebra & Calculus,4,Theory,22MA1101,R22,4,core,3,1,0,False,,
subj-0210,college-aits-001,dept-mech,1,Applied Physics,4,Theory,22PH1101,R22,3,core,3,0,0,False,,
subj-0211,college-aits-001,dept-mech,1,Programming for Problem Solving (C),3,Theory,22CS1101,R22,3,core,3,0,0,False,,
subj-0212,college-aits-001,dept-mech,1,Programming for Problem Solving Lab,1,Lab,22CS1102,R22,3,core,0,0,3,False,,
subj-0213,college-aits-001,dept-mech,1,English - I,2,Theory,22EN1101,R22,2,aec,2,0,0,False,,
subj-0214,college-aits-001,dept-mech,1,Engineering Drawing,2,Lab,22ME1101,R22,3,core,1,0,2,False,,
subj-0215,college-aits-001,dept-mech,1,Applied Physics Lab,1,Lab,22PH1102,R22,2,core,0,0,2,False,,
subj-0216,college-aits-001,dept-mech,2,"Probability, Statistics & Numerical Methods",4,Theory,22MA1201,R22,4,core,3,1,0,False,,
subj-0217,college-aits-001,dept-mech,2,Engineering Chemistry,4,Theory,22CH1201,R22,3,core,3,0,0,False,,
subj-0218,college-aits-001,dept-mech,2,Basic Electrical Engineering,3,Theory,22EE1201,R22,3,core,3,0,0,False,,
subj-0219,college-aits-001,dept-mech,2,Basic Electrical Engineering Lab,1,Lab,22EE1202,R22,2,core,0,0,2,False,,
subj-0220,college-aits-001,dept-mech,2,English - II,2,Theory,22EN1201,R22,2,aec,2,0,0,False,,
subj-0221,college-aits-001,dept-mech,2,Data Structures,3,Theory,22CS1201,R22,3,core,3,0,0,False,,
subj-0222,college-aits-001,dept-mech,2,Data Structures Lab,1,Lab,22CS1202,R22,3,core,0,0,3,False,,
subj-0223,college-aits-001,dept-mech,2,Engineering Chemistry Lab,1,Lab,22CH1202,R22,2,core,0,0,2,False,,
subj-0224,college-aits-001,dept-mech,3,Thermodynamics,3,Theory,22ME3101,R22,3,core,3,0,0,False,,
subj-0225,college-aits-001,dept-mech,3,Mechanics of Solids,3,Theory,22ME3102,R22,4,core,3,1,0,False,,
subj-0226,college-aits-001,dept-mech,3,Manufacturing Technology,3,Theory,22ME3103,R22,3,core,3,0,0,False,,
subj-0227,college-aits-001,dept-mech,3,Fluid Mechanics,3,Theory,22ME3104,R22,3,core,3,0,0,False,,
subj-0228,college-aits-001,dept-mech,3,Manufacturing Lab,2,Lab,22ME3105,R22,3,core,0,0,3,False,,
subj-0229,college-aits-001,dept-mech,3,Fluid Mechanics Lab,1,Lab,22ME3106,R22,2,core,0,0,2,False,,
subj-0230,college-aits-001,dept-mech,3,Managerial Economics & Financial Analysis,3,Theory,22HS3101,R22,3,sec,3,0,0,False,,
subj-0231,college-aits-001,dept-mech,4,Kinematics of Machinery,3,Theory,22ME4101,R22,3,core,3,0,0,False,,
subj-0232,college-aits-001,dept-mech,4,Thermal Engineering - I,3,Theory,22ME4102,R22,3,core,3,0,0,False,,
