id,full_name,gender,date_of_birth,blood_group,phone,email,roll_no,abc_id,aadhaar_number,photo_url,tc_number,address,city,state,pincode,father_name,mother_name,parent_phone,guardian_name,annual_income,siblings,community,religion,caste,nationality,mother_tongue,stream,department,dept_id,branch,branch_full_name,jntuh_branch_code,admission_year,batch,current_year,section,current_semester,cgpa,sgpa_current,active_backlogs,admission_category,eamcet_hall_ticket,eamcet_rank,fee_category,annual_tuition_fee,hostel_fee,total_annual_fee,scholarship,scholarship_amount,bus_route,student_status
STU-00011,Pavan Kapoor,Male,2005-07-22,A+,9726713347,pavan.00011@student.aits.edu.in,22A81A050011,673658281523,XXXX-XXXX-6183,https://randomuser.me/api/portraits/men/12.jpg,AITS/TC/2022/3170,"Flat 205, Ramdev Residency, Uppal",Hyderabad,Telangana,500040,Rahul Kapoor,Revathi Kapoor,9240529481,Rahul Kapoor,400000,1,SC,Hindu,Mala,Indian,Telugu,B.Tech,CSE,dept-cse,CSE,Computer Science & Engineering,A05,2022,2026,4,A,7,6.28,6.51,0,NRI,,,Day Scholar,95000,0,95000,SC/ST Post-Matric,45000,,Active
STU-00012,Tarun Goud,Male,2003-05-06,A-,9570497096,tarun.00012@student.aits.edu.in,22A81A050012,700581361458,XXXX-XXXX-5956,https://randomuser.me/api/portraits/men/13.jpg,AITS/TC/2022/5325,"H.No 2-45, Main Road",Kakinada,Andhra Pradesh,533001,Trivikram Goud,Bhargavi Goud,9812308209,Trivikram Goud,200000,3,OC,Hindu,Kamma,Indian,Telugu,B.Tech,CSE,dept-cse,CSE,Computer Science & Engineering,A05,2022,2026,4,A,7,7.15,8.07,0,Lateral Entry,TSLAT3546,2331,Hosteller,95000,55000,150000,,0,,Active
STU-00013,Vikram Sharma,Male,2005-11-14,B+,9990505735,vikram.00013@student.aits.edu.in,22A81A050013,148432972787,XXXX-XXXX-1058,https://randomuser.me/api/portraits/men/14.jpg,AITS/TC/2022/1653,"Door No 4-12, Near Temple",Tirupati,Andhra Pradesh,517501,Venkat Sharma,Tanuja Sharma,9574417266,Venkat Sharma,1000000,2,BC-B,Hindu,Viswabrahmins,Indian,Telugu,B.Tech,CSE,dept-cse,CSE,Computer Science & Engineering,A05,2022,2026,4,A,7,8.04,6.26,0,EAMCET,TS81511,5722,Day Scholar,95000,0,95000,Merit,10000,,Active
STU-00014,Lokesh Goud,Male,2005-06-25,A+,9701170349,lokesh.00014@student.aits.edu.in,22A81A050014,923004474410,XXXX-XXXX-3532,https://randomuser.me/api/portraits/men/15.jpg,AITS/TC/2022/8541,"Plot 7, Colony Road",Kakinada,Andhra Pradesh,533001,Amarnath Goud,Priya Goud,9292587044,Amarnath Goud,500000,2,BC-A,Hindu,Yadav,Indian,Telugu,B.Tech,CSE,dept-cse,CSE,Computer Science & Engineering,A05,2022,2026,4,A,7,8.81,5.98,0,EAMCET,TS24168,51140,Hosteller,95000,55000,150000,,0,,Active
STU-00015,Akshitha Sastry,Female,2004-01-22,O+,9307371533,akshitha.00015@student.aits.edu.in,22A81A050015,462488651216,XXXX-XXXX-5564,https://randomuser.me/api/portraits/women/16.jpg,AITS/TC/2022/2894,"Door No 4-12, Near Temple",Nalgonda,Telangana,508001,Omkar Sastry,Revathi Sastry,9829627019,Omkar Sastry,1000000,1,OC,Hindu,Kapu,Indian,Telugu,B.Tech,CSE,dept-cse,CSE,Computer Science & Engineering,A05,2022,2026,4,A,7,6.47,6.87,0,EAMCET,TS15014,15208,Day Scholar,95000,0,95000,Merit,10000,,Active
STU-00016,Waseem Pillai,Male,2003-01-23,B-,9568213197,waseem.00016@student.aits.edu.in,22A81A050016,671237914339,XXXX-XXXX-9821,https://randomuser.me/api/portraits/men/17.jpg,AITS/TC/2022/7211,"Plot 7, Colony Road",Nellore,Andhra Pradesh,524001,Naga Pillai,Madhuri Pillai,9175133802,Naga Pillai,500000,2,BC-C,Muslim,Dudekula,Indian,Telugu,B.Tech,CSE,dept-cse,CSE,Computer Science & Engineering,A05,2022,2026,4,A,7,6.52,8.77,0,Lateral Entry,TSLAT6067,3445,Day Scholar,95000,0,95000,,0,,Active
STU-00017,Mahesh Kapoor,Male,2003-07-18,A+,9995205588,mahesh.00017@student.aits.edu.in,22A81A050017,430714225291,XXXX-XXXX-5700,https://randomuser.me/api/portraits/men/18.jpg,AITS/TC/2022/3414,"Flat 205, Ramdev Residency, Uppal",Hyderabad,Telangana,500069,Eswar Kapoor,Vani Kapoor,9825449223,Eswar Kapoor,300000,1,SC,Hindu,Madiga,Indian,Telugu,B.Tech,CSE,dept-cse,CSE,Computer Science & Engineering,A05,2022,2026,4,A,7,9.56,8.76,0,EAMCET,TS77561,44933,Day Scholar,95000,0,95000,SC/ST Post-Matric,45000,,Active
STU-00018,Meghana Subramaniam,Female,2005-08-14,AB+,9776205431,meghana.00018@student.aits.edu.in,22A81A050018,312925885194,XXXX-XXXX-7291,https://randomuser.me/api/portraits/women/19.jpg,AITS/TC/2022/9702,"H.No 2-45, Main Road, Bachupally",Hyderabad,Telangana,500093,Aarav Subramaniam,Fathima Subramaniam,9906341966,Aarav Subramaniam,200000,2,OC,Hindu,Komati,Indian,Tamil,B.Tech,CSE,dept-cse,CSE,Computer Science & Engineering,A05,2022,2026,4,A,7,8.09,7.63,0,NRI,,,Day Scholar,95000,0,95000,,0,,Active
STU-00019,Aakash Bhat,Male,2002-10-27,O-,9872314530,aakash.00019@student.aits.edu.in,22A81A050019,657881979182,XXXX-XXXX-7991,https://randomuser.me/api/portraits/men/20.jpg,AITS/TC/2022/3267,"Flat 102, Laxmi Towers, Kukatpally",Hyderabad,Telangana,500070,Gowtham Bhat,Vyshnavi Bhat,9907214179,Gowtham Bhat,300000,2,OC,Hindu,Velama,Indian,Urdu,B.Tech,CSE,dept-cse,CSE,Computer Science & Engineering,A05,2022,2026,4,A,7,8.1,7.78,0,EAMCET,TS45992,58654,Day Scholar,95000,0,95000,,0,,Active
STU-00020,Aparna Babu,Female,2004-02-14,B+,9537656494,aparna.00020@student.aits.edu.in,22A81A050020,694126611586,XXXX-XXXX-8633,https://randomuser.me/api/portraits/women/21.jpg,AITS/TC/2022/9947,"Flat 501, Sai Krupa, LB Nagar",Hyderabad,Telangana,500059,Yashwanth Babu,Padmini Babu,9120972273,Yashwanth Babu,1500000,1,OC,Hindu,Kapu,Indian,Telugu,B.Tech,CSE,dept-cse,CSE,Computer Science & Engineering,A05,2022,2026,4,A,7,8.95,5.43,0,Management,,,Hosteller,95000,55000,150000,Merit,10000,,Active
STU-00021,Girish Natarajan,Male,2004-05-14,B-,9621454127,girish.00021@student.aits.edu.in,22A81A050021,525326422970,XXXX-XXXX-6507,https://randomuser.me/api/portraits/men/22.jpg,AITS/TC/2022/6529,"Plot 7, Colony Road",Mancherial,Telangana,504208,Ishaan Natarajan,Geethanjali Natarajan,9237039296,Ishaan Natarajan,1500000,1,SC,Hindu,Mala,Indian,Telugu,B.Tech,CSE,dept-cse,CSE,Computer Science & Engineering,A05,2022,2026,4,A,7,8.11,8.24,0,Management,,,Day Scholar,95000,0,95000,SC/ST Post-Matric,45000,Route-6,Active
STU-00022,Ramana Patil,Male,2002-05-27,O+,9187946147,ramana.00022@student.aits.edu.in,22A81A050022,119199821669,XXXX-XXXX-9837,https://randomuser.me/api/portraits/men/23.jpg,AITS/TC/2022/3749,"Plot 7, Colony Road",Siddipet,Telangana,502103,Tarun Patil,Vidya Patil,9799816232,Tarun Patil,150000,2,ST,Hindu,Lambada,Indian,Telugu,B.Tech,CSE,dept-cse,CSE,Computer Science & Engineering,A05,2022,2026,4,A,7,6.77,7.48,2,EAMCET,TS41266,17544,Day Scholar,95000,0,95000,SC/ST Post-Matric,45000,Route-6,Active
STU-00023,Ganesh Gupta,Male,2003-02-19,B+,9127571992,ganesh.00023@student.aits.edu.in,22A81A050023,443291956406,XXXX-XXXX-7149,https://randomuser.me/api/portraits/men/24.jpg,AITS/TC/2022/7882,"H.No 2-45, Main Road",Ramagundam,Telangana,505208,Zaheer Gupta,Padmini Gupta,9991819497,Zaheer Gupta,300000,0,BC-D,Hindu,Munnur Kapu,Indian,Kannada,B.Tech,CSE,dept-cse,CSE,Computer Science & Engineering,A05,2022,2026,4,A,7,6.63,8.27,0,EAMCET,TS84177,6383,Day Scholar,95000,0,95000,,0,,Active
STU-00024,Suresh Arora,Male,2003-11-27,O+,9593641365,suresh.00024@student.aits.edu.in,22A81A050024,270541592056,XXXX-XXXX-8135,https://randomuser.me/api/portraits/men/25.jpg,AITS/TC/2022/7209,"Door No 4-12, Near Temple",Tirupati,Andhra Pradesh,517501,Chiranjeevi Arora,Zara Arora,9677858758,Chiranjeevi Arora,800000,1,SC,Hindu,Adi Andhra,Indian,Telugu,B.Tech,CSE,dept-cse,CSE,Computer Science & Engineering,A05,2022,2026,4,A,7,7.91,6.89,0,EAMCET,TS21359,37559,Hosteller,95000,55000,150000,SC/ST Post-Matric,45000,,Active
STU-00025,Amulya Bhat,Female,2004-08-07,A+,9480990401,amulya.00025@student.aits.edu.in,22A81A050025,386894505438,XXXX-XXXX-6576,https://randomuser.me/api/portraits/women/26.jpg,AITS/TC/2022/7046,"Door No 4-12, Near Temple",Guntur,Andhra Pradesh,522001,Uday Bhat,Anjali Bhat,9654724287,Uday Bhat,300000,0,BC-D,Hindu,Perika,Indian,Tamil,B.Tech,CSE,dept-cse,CSE,Computer Science & Engineering,A05,2022,2026,4,A,7,7.11,7.46,0,EAMCET,TS72402,65332,Day Scholar,95000,0,95000,,0,Route-10,Active
STU-00026,Qasim Shah,Male,2002-12-18,A+,9455184454,qasim.00026@student.aits.edu.in,22A81A050026,870310160681,XXXX-XXXX-8434,https://randomuser.me/api/portraits/men/27.jpg,AITS/TC/2022/4180,"H.No 7-23, AS Rao Nagar",Hyderabad,Telangana,500025,Sandeep Shah,Haritha Shah,9228370927,Sandeep Shah,1000000,3,BC-D,Hindu,Mudiraj,Indian,Telugu,B.Tech,CSE,dept-cse,CSE,Computer Science & Engineering,A05,2022,2026,4,A,7,7.06,8.72,0,NRI,,,Day Scholar,95000,0,95000,Merit,10000,,Active
STU-00027,Aruna Nair,Female,2003-01-23,O+,9673523188,aruna.00027@student.aits.edu.in,22A81A050027,401191380396,XXXX-XXXX-1745,https://randomuser.me/api/portraits/women/28.jpg,AITS/TC/2022/3485,"H.No 2-45, Main Road, Bachupally",Hyderabad,Telangana,500091,Lahari Nair,Tejasvi Nair,9113169872,Lahari Nair,1500000,1,BC-A,Hindu,Goud,Indian,Telugu,B.Tech,CSE,dept-cse,CSE,Computer Science & Engineering,A05,2022,2026,4,A,7,7.6,7.64,0,EAMCET,TS43092,63616,Day Scholar,95000,0,95000,Merit,10000,,Active
STU-00028,Gayathri Krishnan,Female,2005-04-04,O-,9699226355,gayathri.00028@student.aits.edu.in,22A81A050028,558549792976,XXXX-XXXX-4697,https://randomuser.me/api/portraits/women/29.jpg,AITS/TC/2022/8381,"H.No 5-34, Mehdipatnam",Hyderabad,Telangana,500048,Zaheer Krishnan,Madhuri Krishnan,9427899537,Zaheer Krishnan,1500000,2,BC-B,Hindu,Beri Chetty,Indian,Telugu,B.Tech,CSE,dept-cse,CSE,Computer Science & Engineering,A05,2022,2026,4,A,7,7.26,7.81,0,EAMCET,TS91987,28659,Day Scholar,95000,0,95000,Merit,10000,Route-7,Active
STU-00029,Jayanth Iyer,Male,2005-04-10,O+,9859088046,jayanth.00029@student.aits.edu.in,22A81A050029,870013412146,XXXX-XXXX-8438,https://randomuser.me/api/portraits/men/30.jpg,AITS/TC/2022/5982,"Plot 7, Colony Road",Nalgonda,Telangana,508001,Chaitanya Iyer,Pooja Iyer,9684719405,Chaitanya Iyer,300000,2,SC,Hindu,Madiga,Indian,Telugu,B.Tech,CSE,dept-cse,CSE,Computer Science & Engineering,A05,2022,2026,4,A,7,5.6,6.35,1,EAMCET,TS31747,41319,Day Scholar,95000,0,95000,SC/ST Post-Matric,45000,,Active
STU-00030,Ajay Anand,Male,2002-08-03,A-,9742136977,ajay.00030@student.aits.edu.in,22A81A050030,909309400638,XXXX-XXXX-6280,https://randomuser.me/api/portraits/men/31.jpg,AITS/TC/2022/7690,"Plot 12, Srinivasa Nagar, Medchal",Hyderabad,Telangana,500039,Waseem Anand,Hema Anand,9122275263,Waseem Anand,400000,1,BC-D,Hindu,Mudiraj,Indian,Urdu,B.Tech,CSE,dept-cse,CSE,Computer Science & Engineering,A05,2022,2026,4,A,7,7.91,8.61,0,Lateral Entry,TSLAT8245,2378,Day Scholar,95000,0,95000,,0,Route-6,Active
STU-00031,Manasa Varma,Female,2004-06-14,O-,9844826434,manasa.00031@student.aits.edu.in,22A81A050031,415660635863,XXXX-XXXX-7561,https://randomuser.me/api/portraits/women/32.jpg,AITS/TC/2022/8242,"Plot 12, Srinivasa Nagar, Medchal",Hyderabad,Telangana,500050,Vikram Varma,Haritha Varma,9224469868,Vikram Varma,600000,2,SC,Hindu,Mala,Indian,Tamil,B.Tech,CSE,dept-cse,CSE,Computer Science & Engineering,A05,2022,2026,4,A,7,6.69,7.73,0,NRI,,,Hosteller,95000,55000,150000,SC/ST Post-Matric,45000,,Active
STU-00032,Lokesh Patil,Male,2004-05-15,B-,9849740261,lokesh.00032@student.aits.edu.in,22A81A050032,235225807501,XXXX-XXXX-1472,https://randomuser.me/api/portraits/men/33.jpg,AITS/TC/2022/8736,"Plot 7, Colony Road",Mahbubnagar,Telangana,509001,Rakesh Patil,Farida Patil,9114682844,Rakesh Patil,1000000,1,OC,Hindu,Kamma,Indian,Urdu,B.Tech,CSE,dept-cse,CSE,Computer Science & Engineering,A05,2022,2026,4,A,7,5.55,7.42,0,EAMCET,TS94896,21181,Day Scholar,95000,0,95000,Merit,10000,,Active
STU-00033,Farida Babu,Female,2002-04-20,B+,9645719501,farida.00033@student.aits.edu.in,22A81A050033,400947542743,XXXX-XXXX-7798,https://randomuser.me/api/portraits/women/34.jpg,AITS/TC/2022/4090,"Door No 4-12, Near Temple",Suryapet,Telangana,508213,Aarav Babu,Nandini Babu,9879591310,Aarav Babu,400000,2,BC-B,Hindu,Beri Chetty,Indian,Urdu,B.Tech,CSE,dept-cse,CSE,Computer Science & Engineering,A05,2022,2026,4,A,7,6.32,7.49,0,EAMCET,TS68529,71592,Day Scholar,95000,0,95000,,0,,Active
STU-00034,Charan Tripathi,Male,2002-04-28,AB-,9932734539,charan.00034@student.aits.edu.in,22A81A050034,149008905874,XXXX-XXXX-6213,https://randomuser.me/api/portraits/men/35.jpg,AITS/TC/2022/2225,"H.No 9-12, Old Bowenpally, Secunderabad",Hyderabad,Telangana,500059,Srinath Tripathi,Amulya Tripathi,9139749508,Srinath Tripathi,250000,1,BC-B,Hindu,Viswabrahmins,Indian,Urdu,B.Tech,CSE,dept-cse,CSE,Computer Science & Engineering,A05,2022,2026,4,A,7,7.91,7.45,1,EAMCET,TS78937,60890,Hosteller,95000,55000,150000,,0,,Active
STU-00035,Rahul Patel,Male,2002-11-03,B+,9452794611,rahul.00035@student.aits.edu.in,22A81A050035,842395153057,XXXX-XXXX-9742,https://randomuser.me/api/portraits/men/36.jpg,AITS/TC/2022/1753,"Flat 3A, Residency",Tirupati,Andhra Pradesh,517501,Siddharth Patel,Divya Patel,9762992051,Siddharth Patel,200000,1,BC-C,Muslim,Laddaf,Indian,Telugu,B.Tech,CSE,dept-cse,CSE,Computer Science & Engineering,A05,2022,2026,4,A,7,7.41,5.84,0,EAMCET,TS66881,13903,Day Scholar,95000,0,95000,EBC,20000,Route-1,Active
STU-00036,Swetha Iyer,Female,2003-06-14,A-,9256304376,swetha.00036@student.aits.edu.in,22A81A050036,680869404959,XXXX-XXXX-7751,https://randomuser.me/api/portraits/women/37.jpg,AITS/TC/2022/3588,"Plot 7, Colony Road",Khammam,Telangana,507001,Mahesh Iyer,Bhavana Iyer,9754436820,Mahesh Iyer,600000,2,OC,Hindu,Velama,Indian,Telugu,B.Tech,CSE,dept-cse,CSE,Computer Science & Engineering,A05,2022,2026,4,A,7,5.72,7.77,1,EAMCET,TS70443,34289,Day Scholar,95000,0,95000,,0,Route-9,Active
STU-00037,Prasanna Sinha,Female,2003-11-14,A+,9841218491,prasanna.00037@student.aits.edu.in,22A81A050037,599290370034,XXXX-XXXX-5949,https://randomuser.me/api/portraits/women/38.jpg,AITS/TC/2022/1803,"Flat 3A, Residency",Ongole,Andhra Pradesh,523001,Suresh Sinha,Meghana Sinha,9509486794,Suresh Sinha,1500000,1,OC,Hindu,Komati,Indian,Telugu,B.Tech,CSE,dept-cse,CSE,Computer Science & Engineering,A05,2022,2026,4,A,7,7.08,8.68,0,EAMCET,TS96275,52879,Hosteller,95000,55000,150000,Merit,10000,,Active
STU-00038,Manish Iyer,Male,2004-10-26,A-,9478301747,manish.00038@student.aits.edu.in,22A81A050038,796725319270,XXXX-XXXX-4115,https://randomuser.me/api/portraits/men/39.jpg,AITS/TC/2022/6994,"H.No 2-45, Main Road, Bachupally",Hyderabad,Telangana,500090,Deepak Iyer,Fathima Iyer,9773728014,Deepak Iyer,150000,1,BC-A,Hindu,Kummari,Indian,Telugu,B.Tech,CSE,dept-cse,CSE,Computer Science & Engineering,A05,2022,2026,4,A,7,6.77,8.32,0,EAMCET,TS21813,39680,Hosteller,95000,55000,150000,EBC,20000,,Active
STU-00039,Ajay Gupta,Male,2003-08-26,AB+,9416905717,ajay.00039@student.aits.edu.in,22A81A050039,981923066620,XXXX-XXXX-2886,https://randomuser.me/api/portraits/men/40.jpg,AITS/TC/2022/7086,"Plot 7, Colony Road",Karimnagar,Telangana,505001,Akhil Gupta,Chandana Gupta,9963919401,Akhil Gupta,1000000,1,SC,Hindu,Mala,Indian,Telugu,B.Tech,CSE,dept-cse,CSE,Computer Science & Engineering,A05,2022,2026,4,A,7,6.06,8.62,0,Lateral Entry,TSLAT3024,3825,Day Scholar,95000,0,95000,SC/ST Post-Matric,45000,,Active
STU-00040,Lavanya Subramaniam,Female,2005-10-18,B-,9452194058,lavanya.00040@student.aits.edu.in,22A81A050040,773945892375,XXXX-XXXX-4626,https://randomuser.me/api/portraits/women/41.jpg,AITS/TC/2022/9850,"H.No 5-34, Mehdipatnam",Hyderabad,Telangana,500099,Santosh Subramaniam,Latha Subramaniam,9538404342,Santosh Subramaniam,200000,0,ST,Hindu,Gond,Indian,Urdu,B.Tech,CSE,dept-cse,CSE,Computer Science & Engineering,A05,2022,2026,4,A,7,7.75,7.05,0,EAMCET,TS22739,31775,Hosteller,95000,55000,150000,SC/ST Post-Matric,45000,,Active
STU-00041,Srinath Singh,Male,2005-08-20,A+,9538211092,srinath.00041@student.aits.edu.in,22A81A050041,135561213146,XXXX-XXXX-7070,https://randomuser.me/api/portraits/men/42.jpg,AITS/TC/2022/1349,"H.No 7-23, AS Rao Nagar",Hyderabad,Telangana,500056,Deepak Singh,Niharika Singh,9494422907,Deepak Singh,1000000,3,BC-C,Muslim,Dudekula,Indian,Hindi,B.Tech,CSE,dept-cse,CSE,Computer Science & Engineering,A05,2022,2026,4,A,7,9.25,6.81,0,EAMCET,TS34878,17011,Day Scholar,95000,0,95000,Merit,10000,,Active
STU-00042,Pavani Goud,Female,2004-10-07,A-,9173669588,pavani.00042@student.aits.edu.in,22A81A050042,941082663172,XXXX-XXXX-4394,https://randomuser.me/api/portraits/women/43.jpg,AITS/TC/2022/4898,"H.No 7-23, AS Rao Nagar",Hyderabad,Telangana,500052,Harsha Goud,Yamini Goud,9739930411,Harsha Goud,150000,1,OBC,Muslim,Syed,Indian,Tamil,B.Tech,CSE,dept-cse,CSE,Computer Science & Engineering,A05,2022,2026,4,A,7,7.17,7.21,0,EAMCET,TS32871,15408,Hosteller,95000,55000,150000,,0,,Active
STU-00043,Kiran Nair,Male,2003-01-05,AB-,9896413702,kiran.00043@student.aits.edu.in,22A81A050043,677333629502,XXXX-XXXX-2862,https://randomuser.me/api/portraits/men/44.jpg,AITS/TC/2022/9032,"H.No 5-34, Mehdipatnam",Hyderabad,Telangana,500056,Omkar Nair,Hema Nair,9217095851,Omkar Nair,800000,1,ST,Hindu,Koya,Indian,Tamil,B.Tech,CSE,dept-cse,CSE,Computer Science & Engineering,A05,2022,2026,4,A,7,8.47,7.83,0,EAMCET,TS70036,5082,Hosteller,95000,55000,150000,SC/ST Post-Matric,45000,,Active
STU-00044,Eswar Naidu,Male,2005-06-20,A-,9259272239,eswar.00044@student.aits.edu.in,22A81A050044,237721056529,XXXX-XXXX-5505,https://randomuser.me/api/portraits/men/45.jpg,AITS/TC/2022/2557,"Door No 4-12, Near Temple",Yadadri,Telangana,508115,Ramana Naidu,Indira Naidu,9669681065,Ramana Naidu,400000,1,BC-B,Hindu,Viswabrahmins,Indian,Telugu,B.Tech,CSE,dept-cse,CSE,Computer Science & Engineering,A05,2022,2026,4,A,7,6.54,7.62,0,Lateral Entry,TSLAT4522,3623,Day Scholar,95000,0,95000,,0,,Active
